store_id,original_revenue,optimal_revenue,original_demand,optimal_demand,demand_increase,demand_increase_pct,revenue_increase,revenue_increase_pct,original_profit,optimal_profit,profit_increase,profit_increase_pct
1000,6750850.23,10493656.25,1396634.72,1659495.54,262860.82000000007,0.19,3742806.0199999996,0.55,1350170.05,2098731.25,748561.2,0.55
1001,7489001.48,11129434.48,1388290.34,1689924.77,301634.42999999993,0.22,3640433.0,0.49,1497800.3,2225886.9,728086.6,0.49
1003,5477654.51,8088208.41,927589.13,1233491.41,305902.2799999999,0.33,2610553.9000000004,0.48,1095530.9,1617641.68,522110.78,0.48
1004,10774234.57,16417284.41,2156879.42,2709852.69,552973.27,0.26,5643049.84,0.52,2154846.91,3283456.88,1128609.97,0.52
1005,6557900.33,9517588.56,1194017.03,1470743.81,276726.78,0.23,2959688.2300000004,0.45,1311580.07,1903517.71,591937.65,0.45
1007,9756051.18,15368114.47,2029479.72,2391458.71,361978.99,0.18,5612063.290000001,0.58,1951210.24,3073622.89,1122412.66,0.58
1010,6670866.76,10565164.13,1334229.38,1686824.41,352595.03,0.26,3894297.370000001,0.58,1334173.35,2113032.83,778859.47,0.58
1011,8765478.55,13431917.45,1674173.26,2092898.84,418725.5800000001,0.25,4666438.8999999985,0.53,1753095.71,2686383.49,933287.78,0.53
1014,7028444.27,10754010.67,1404661.29,1725978.25,321316.95999999996,0.23,3725566.4000000004,0.53,1405688.85,2150802.13,745113.28,0.53
1016,8096088.2,11782590.84,1465265.11,1842455.81,377190.69999999995,0.26,3686502.6399999997,0.46,1619217.64,2356518.17,737300.53,0.46
1019,8294857.62,12794503.65,1589225.03,1987704.54,398479.51,0.25,4499646.03,0.54,1658971.52,2558900.73,899929.21,0.54
1020,4092629.94,6277513.54,800577.7,971045.81,170468.1100000001,0.21,2184883.6,0.53,818525.99,1255502.71,436976.72,0.53
1021,10196489.58,15398854.09,1954069.15,2471485.79,517416.64000000013,0.26,5202364.51,0.51,2039297.92,3079770.82,1040472.9,0.51
1022,6240285.71,8877354.49,1121545.63,1394950.1,273404.4700000002,0.24,2637068.7800000003,0.42,1248057.14,1775470.9,527413.76,0.42
1023,3415026.66,5022573.91,626026.64,815675.23,189648.58999999997,0.3,1607547.25,0.47,683005.33,1004514.78,321509.45,0.47
1027,9070598.54,13517342.36,1717253.92,2131490.48,414236.56000000006,0.24,4446743.82,0.49,1814119.71,2703468.47,889348.76,0.49
1028,7928904.57,11853158.62,1412604.86,1829734.76,417129.8999999999,0.3,3924254.049999999,0.49,1585780.91,2370631.72,784850.81,0.49
1029,7024630.88,10717961.1,1373497.44,1690153.28,316655.8400000001,0.23,3693330.2199999997,0.53,1404926.18,2143592.22,738666.04,0.53
1032,7532853.85,11133198.73,1274737.93,1682680.37,407942.4400000002,0.32,3600344.880000001,0.48,1506570.77,2226639.75,720068.98,0.48
1035,9902731.19,14911509.55,1920571.51,2357268.64,436697.1300000001,0.23,5008778.360000001,0.51,1980546.24,2982301.91,1001755.67,0.51
1040,8178486.83,12195011.65,1556227.6,1889548.04,333320.43999999994,0.21,4016524.8200000003,0.49,1635697.37,2439002.33,803304.96,0.49
1050,10587140.85,16041849.469999999,2079641.23,2565565.27,485924.04000000004,0.23,5454708.619999999,0.52,2117428.17,3208369.89,1090941.72,0.52
1051,7743597.37,11574562.23,1490349.74,1855329.43,364979.68999999994,0.24,3830964.8600000003,0.49,1548719.47,2314912.45,766192.97,0.49
1064,5405831.17,7844840.37,941207.26,1207099.96,265892.69999999995,0.28,2439009.2,0.45,1081166.23,1568968.07,487801.84,0.45
1066,10857737.37,16207084.24,2039095.79,2515676.51,476580.71999999974,0.23,5349346.870000001,0.49,2171547.47,3241416.85,1069869.37,0.49
1079,6767858.58,10399026.18,1340652.88,1628866.66,288213.78,0.21,3631167.5999999996,0.54,1353571.72,2079805.24,726233.52,0.54
1082,4388070.1,6622469.34,844694.78,1076430.93,231736.1499999999,0.27,2234399.24,0.51,877614.02,1324493.87,446879.85,0.51
1083,6381337.54,9317142.3,1172381.49,1481377.65,308996.1599999999,0.26,2935804.7600000007,0.46,1276267.51,1863428.46,587160.95,0.46
1090,5726302.7,8612681.46,1055920.63,1320945.45,265024.82000000007,0.25,2886378.7600000007,0.5,1145260.54,1722536.29,577275.75,0.5
1092,6546527.58,9917094.12,1260327.19,1585126.42,324799.23,0.26,3370566.539999999,0.51,1309305.52,1983418.82,674113.31,0.51
1095,5815184.45,9054683.81,1180816.76,1408213.11,227396.3500000001,0.19,3239499.3600000003,0.56,1163036.89,1810936.76,647899.87,0.56
1099,7531274.61,11693874.38,1470967.05,1849045.27,378078.22,0.26,4162599.7700000005,0.55,1506254.92,2338774.88,832519.95,0.55
1114,8323868.04,12185312.66,1564070.57,1918598.72,354528.1499999999,0.23,3861444.62,0.46,1664773.61,2437062.53,772288.92,0.46
1127,6402238.02,9298794.37,1179524.9,1472339.42,292814.52,0.25,2896556.3499999996,0.45,1280447.6,1859758.87,579311.27,0.45
1132,4112006.52,6127464.6899999995,774455.21,978412.64,203957.43000000005,0.26,2015458.1699999995,0.49,822401.3,1225492.94,403091.63,0.49
1142,2769669.41,4533547.58,555182.53,734925.6,179743.06999999995,0.32,1763878.17,0.64,553933.88,906709.52,352775.63,0.64
1154,3410793.02,5271537.57,670248.2,838158.51,167910.31000000006,0.25,1860744.5500000003,0.55,682158.6,1054307.51,372148.91,0.55
1155,4878145.75,7720387.69,1003117.1,1216957.54,213840.44000000006,0.21,2842241.9400000004,0.58,975629.15,1544077.54,568448.39,0.58
1170,5309237.84,8243063.14,1162657.71,1379962.78,217305.07000000007,0.19,2933825.3,0.55,1061847.57,1648612.63,586765.06,0.55
1174,4074818.44,6232022.99,762416.45,958564.0,196147.55000000005,0.26,2157204.5500000003,0.53,814963.69,1246404.6,431440.91,0.53
1179,3022878.36,4681265.22,576050.29,732358.07,156307.7799999999,0.27,1658386.8599999999,0.55,604575.67,936253.04,331677.37,0.55
1188,8404941.95,12607452.81,1609356.32,2002487.25,393130.92999999993,0.24,4202510.860000001,0.5,1680988.39,2521490.56,840502.17,0.5
1194,7960302.21,12474811.97,1570846.09,1923953.55,353107.45999999996,0.22,4514509.760000001,0.57,1592060.44,2494962.39,902901.95,0.57
1200,3023975.32,4662653.5,578152.47,748435.79,170283.32000000007,0.29,1638678.1800000002,0.54,604795.06,932530.7,327735.64,0.54
1208,4440027.94,6160342.1,707928.62,957257.5,249328.88,0.35,1720314.1599999992,0.39,888005.59,1232068.42,344062.83,0.39
1212,12513258.59,19509656.24,2563470.9,3076594.53,513123.6299999999,0.2,6996397.6499999985,0.56,2502651.72,3901931.25,1399279.53,0.56
1424,2561569.55,4919111.26,638803.72,645589.51,6785.790000000037,0.01,2357541.71,0.92,512313.91,983822.25,471508.34,0.92
